weeks,mask,restaurant,non-essential business,bars,movie theater,increased_incident_ratio,increased_incident_ratio_next_week,total_vaccinations_per_hundred,delta_variant_exist,omicron_variant_exist
0,0,0,0,0,0,,,,0,0
1,0,0,0,0,0,,,,0,0
2,0,0,0,0,0,,,,0,0
3,0,0,0,0,0,,,,0,0
4,0,0,0,0,0,,,,0,0
5,0,0,0,0,0,,,,0,0
6,0,0,0,0,0,,,,0,0
7,0,0,0,0,0,,,,0,0
8,0,0,0,0,0,,,,0,0
9,0,0,0,0,0,,,,0,0
10,0,0,0,0,0,,,,0,0
11,0,0,0,0,0,,,,0,0
12,0,1,1,1,1,,,,0,0
13,0,1,1,1,1,,,,0,0
14,0,1,1,1,1,,,,0,0
15,0,1,1,1,1,25.703439,29.737633,,0,0
16,0,1,1,1,1,29.737633,28.598745,,0,0
17,0,1,1,1,1,28.598745,33.764236,,0,0
18,0,1,1,1,1,33.764236,31.749669,,0,0
19,0,1,0,1,1,31.749669,37.811084,,0,0
20,0,1,0,1,1,37.811084,47.74472,,0,0
21,0,0,0,1,1,47.74472,46.552683,,0,0
22,0,0,0,1,1,46.552683,52.748234,,0,0
23,0,0,0,1,1,52.748234,80.734511,,0,0
24,0,0,0,1,1,80.734511,109.46233,,0,0
25,1,0,0,1,1,109.46233,135.752929,,0,0
26,1,0,0,1,1,135.752929,149.763783,,0,0
27,1,0,0,1,1,149.763783,160.102357,,0,0
28,1,0,0,1,1,160.102357,160.757849,,0,0
29,1,1,0,1,1,160.757849,140.262926,,0,0
30,1,1,0,1,1,140.262926,139.318914,,0,0
31,1,1,0,1,1,139.318914,145.504342,,0,0
32,1,1,0,1,1,145.504342,102.689742,,0,0
33,1,1,0,1,1,102.689742,88.12716,,0,0
34,1,1,0,1,1,88.12716,75.933465,,0,0
35,1,1,0,1,1,75.933465,57.587243,,0,0
36,1,1,0,1,1,57.587243,62.702117,,0,0
37,1,1,0,1,1,62.702117,60.011809,,0,0
38,1,1,0,1,1,60.011809,58.554033,,0,0
39,1,1,0,1,1,58.554033,62.828659,,0,0
40,1,1,0,1,1,62.828659,57.473355,,0,0
41,1,1,0,1,1,57.473355,79.099574,,0,0
42,1,1,0,1,1,79.099574,81.491238,,0,0
43,1,1,0,1,1,81.491238,113.790105,,0,0
44,1,1,0,1,1,113.790105,164.017601,,0,0
45,1,1,0,1,1,164.017601,239.376559,,0,0
46,1,1,0,1,1,239.376559,267.474194,,0,0
47,1,1,0,1,1,267.474194,448.906659,,0,0
48,1,1,0,1,1,448.906659,603.013401,,0,0
49,1,1,0,1,1,603.013401,814.064549,,0,0
50,1,1,0,1,1,814.064549,692.651487,,0,0
51,1,1,0,1,1,692.651487,709.80061,,0,0
52,1,1,0,1,1,709.80061,771.070259,,0,0
53,1,1,0,1,1,771.070259,652.069108,,0,0
54,1,1,0,1,1,652.069108,404.505208,2.72,0,0
55,1,1,0,1,1,404.505208,318.392615,4.56,0,0
56,1,1,0,1,1,318.392615,228.977246,7.37,0,0
