weeks,mask,restaurant,non-essential business,bars,movie theater,increased_incident_ratio,increased_incident_ratio_next_week,total_vaccinations_per_hundred,delta_variant_exist,omicron_variant_exist
0,0,0,0,0,0,,,,0,0
1,0,0,0,0,0,,,,0,0
2,0,0,0,0,0,,,,0,0
3,0,0,0,0,0,,,,0,0
4,0,0,0,0,0,,,,0,0
5,0,0,0,0,0,,,,0,0
6,0,0,0,0,0,,,,0,0
7,0,0,0,0,0,,,,0,0
8,0,0,0,0,0,,,,0,0
9,0,0,0,0,0,,,,0,0
10,0,0,0,0,0,,,,0,0
11,0,0,0,0,0,,,,0,0
12,0,0,0,1,0,,,,0,0
13,0,0,0,1,0,,,,0,0
14,0,1,1,1,1,,,,0,0
15,0,1,1,1,1,28.122143,23.647743,,0,0
16,0,1,1,1,1,23.647743,22.157828,,0,0
17,0,1,1,1,1,22.157828,19.019695,,0,0
18,0,1,1,1,1,19.019695,25.421672,,0,0
19,0,1,1,1,1,25.421672,24.695339,,0,0
20,0,1,1,1,1,24.695339,23.671023,,0,0
21,0,0,0,1,1,23.671023,37.592415,,0,0
22,0,0,0,1,1,37.592415,57.836633,,0,0
23,0,0,0,0,0,57.836633,106.58013,,0,0
24,0,0,0,0,0,106.58013,214.752607,,0,0
25,0,0,0,0,0,214.752607,279.852574,,0,0
26,0,0,0,1,0,279.852574,353.798913,,0,0
27,0,0,0,1,0,353.798913,362.975858,,0,0
28,0,0,0,1,0,362.975858,336.874411,,0,0
29,0,0,0,1,0,336.874411,275.340926,,0,0
30,0,0,0,1,0,275.340926,209.877791,,0,0
31,0,0,0,1,0,209.877791,182.202622,,0,0
32,0,0,0,1,0,182.202622,124.477733,,0,0
33,0,0,0,1,0,124.477733,96.108821,,0,0
34,0,0,0,1,0,96.108821,115.459092,,0,0
35,0,0,0,1,0,115.459092,81.298137,,0,0
36,0,0,0,1,0,81.298137,91.764788,,0,0
37,0,0,0,1,0,91.764788,73.857875,,0,0
38,0,0,0,0,0,73.857875,77.158967,,0,0
39,0,0,0,0,0,77.158967,84.50611,,0,0
40,0,0,0,0,0,84.50611,96.392836,,0,0
41,0,0,0,0,0,96.392836,117.731212,,0,0
42,0,0,0,0,0,117.731212,139.912319,,0,0
43,0,0,0,0,0,139.912319,166.488677,,0,0
44,0,0,0,0,0,166.488677,195.751535,,0,0
45,0,0,0,0,0,195.751535,255.525059,,0,0
46,0,0,0,0,0,255.525059,254.095671,,0,0
47,0,0,0,0,0,254.095671,309.464633,,0,0
48,0,0,0,0,0,309.464633,319.391191,,0,0
49,0,0,0,0,0,319.391191,364.088637,,0,0
50,0,0,0,0,0,364.088637,314.725895,,0,0
51,0,0,0,0,0,314.725895,449.372297,,0,0
52,0,0,0,0,0,449.372297,520.976675,,0,0
53,0,0,0,0,0,520.976675,422.274469,,0,0
54,0,0,0,0,0,422.274469,367.301267,3.97,0,0
55,0,0,0,0,0,367.301267,320.974225,6.12,0,0
56,0,0,0,0,0,320.974225,263.589223,8.36,0,0
