weeks,mask,restaurant,non-essential business,bars,movie theater,increased_incident_ratio,increased_incident_ratio_next_week,total_vaccinations_per_hundred,delta_variant_exist,omicron_variant_exist
0,0,0,0,0,0,,,,0,0
1,0,0,0,0,0,,,,0,0
2,0,0,0,0,0,,,,0,0
3,0,0,0,0,0,,,,0,0
4,0,0,0,0,0,,,,0,0
5,0,0,0,0,0,,,,0,0
6,0,0,0,0,0,,,,0,0
7,0,0,0,0,0,,,,0,0
8,0,0,0,0,0,,,,0,0
9,0,0,0,0,0,,,,0,0
10,0,0,0,0,0,,,,0,0
11,0,0,0,0,0,,,,0,0
12,0,1,1,1,1,,,,0,0
13,0,1,1,1,1,,,,0,0
14,0,1,1,1,1,,,,0,0
15,0,1,1,1,1,74.874795,113.401223,,0,0
16,0,1,1,1,1,113.401223,141.210959,,0,0
17,0,1,1,1,1,141.210959,120.187935,,0,0
18,1,1,1,1,1,120.187935,137.928085,,0,0
19,1,1,1,1,1,137.928085,122.571176,,0,0
20,1,1,1,1,1,122.571176,72.736191,,0,0
21,1,1,1,1,1,72.736191,56.669046,,0,0
22,1,0,0,1,1,56.669046,36.308909,,0,0
23,1,0,0,1,1,36.308909,33.20754,,0,0
24,1,0,0,1,1,33.20754,41.32792,,0,0
25,1,0,0,1,1,41.32792,42.645804,,0,0
26,1,0,0,0,0,42.645804,63.653046,,0,0
27,1,0,0,0,0,63.653046,63.061181,,0,0
28,1,0,0,0,0,63.061181,78.694293,,0,0
29,1,0,0,0,0,78.694293,83.871134,,0,0
30,1,0,0,0,0,83.871134,96.095108,,0,0
31,1,0,0,0,0,96.095108,98.533589,,0,0
32,1,0,0,0,0,98.533589,110.64708,,0,0
33,1,0,0,0,0,110.64708,106.677643,,0,0
34,1,0,0,0,0,106.677643,127.527054,,0,0
35,1,0,0,0,0,127.527054,94.280057,,0,0
36,1,0,0,0,0,94.280057,103.292179,,0,0
37,1,0,0,0,0,103.292179,111.759785,,0,0
38,1,0,0,0,0,111.759785,110.528708,,0,0
39,1,0,0,0,0,110.528708,148.597428,,0,0
40,1,0,0,0,0,148.597428,203.80654,,0,0
41,1,0,0,0,0,203.80654,259.970528,,0,0
42,1,0,0,0,0,259.970528,363.499453,,0,0
43,1,0,0,0,0,363.499453,543.023769,,0,0
44,1,0,0,0,0,543.023769,684.100573,,0,0
45,1,0,0,0,0,684.100573,626.366171,,0,0
46,1,0,0,0,0,626.366171,486.780866,,0,0
47,1,1,0,1,1,486.780866,552.091132,,0,0
48,1,1,0,1,1,552.091132,472.339374,,0,0
49,1,1,0,1,1,472.339374,386.29807,,0,0
50,1,1,0,1,1,386.29807,294.298665,,0,0
51,1,1,0,1,1,294.298665,335.531886,,0,0
52,1,1,0,1,1,335.531886,383.891155,,0,0
53,1,1,0,1,1,383.891155,305.307343,,0,0
54,1,1,0,1,1,305.307343,256.861267,3.45,0,0
55,1,1,0,1,1,256.861267,188.212886,4.79,0,0
56,1,1,0,1,1,188.212886,153.687461,6.98,0,0
