weeks,mask,restaurant,non-essential business,bars,movie theater,increased_incident_ratio,increased_incident_ratio_next_week,total_vaccinations_per_hundred,delta_variant_exist,omicron_variant_exist
0,0,0,0,0,0,,,,0,0
1,0,0,0,0,0,,,,0,0
2,0,0,0,0,0,,,,0,0
3,0,0,0,0,0,,,,0,0
4,0,0,0,0,0,,,,0,0
5,0,0,0,0,0,,,,0,0
6,0,0,0,0,0,,,,0,0
7,0,0,0,0,0,,,,0,0
8,0,0,0,0,0,,,,0,0
9,0,0,0,0,0,,,,0,0
10,0,0,0,0,0,,,,0,0
11,0,0,0,0,0,,,,0,0
12,0,1,1,1,1,,,,0,0
13,0,1,1,1,1,,,,0,0
14,0,1,1,1,1,,,,0,0
15,0,1,1,1,1,294.60416,200.148446,,0,0
16,1,1,1,1,1,200.148446,138.571031,,0,0
17,1,1,1,1,1,138.571031,93.052372,,0,0
18,1,1,1,1,1,93.052372,73.59064,,0,0
19,1,1,1,1,1,73.59064,58.565113,,0,0
20,1,1,1,1,1,58.565113,45.99158,,0,0
21,1,1,1,1,1,45.99158,36.435488,,0,0
22,1,1,1,1,1,36.435488,26.4476,,0,0
23,1,1,1,1,1,26.4476,23.358191,,0,0
24,1,1,0,1,1,23.358191,25.265298,,0,0
25,1,1,0,1,1,25.265298,21.826338,,0,0
26,1,0,0,1,1,21.826338,23.718022,,0,0
27,1,0,0,1,1,23.718022,26.026084,,0,0
28,1,0,0,1,1,26.026084,25.794763,,0,0
29,1,0,0,1,1,25.794763,23.126871,,0,0
30,1,0,0,1,1,23.126871,23.096029,,0,0
31,1,0,0,1,1,23.096029,23.543247,,0,0
32,1,0,0,1,1,23.543247,21.738951,,0,0
33,1,0,0,1,1,21.738951,36.029393,,0,0
34,1,0,0,1,1,36.029393,26.529847,,0,0
35,1,0,0,1,1,26.529847,26.776589,,0,0
36,1,0,0,1,1,26.776589,28.879031,,0,0
37,1,0,0,1,1,28.879031,33.063356,,0,0
38,1,0,0,1,1,33.063356,47.631382,,0,0
39,1,0,0,1,1,47.631382,51.841408,,0,0
40,1,0,0,1,1,51.841408,51.419892,,0,0
41,1,0,0,1,1,51.419892,63.068145,,0,0
42,1,0,0,1,1,63.068145,74.824347,,0,0
43,1,0,0,1,1,74.824347,110.468206,,0,0
44,1,0,0,1,1,110.468206,170.045988,,0,0
45,1,0,0,1,1,170.045988,202.914007,,0,0
46,1,0,0,1,1,202.914007,239.627079,,0,0
47,1,0,0,1,1,239.627079,343.762255,,0,0
48,1,0,0,1,1,343.762255,368.395277,,0,0
49,1,0,0,1,1,368.395277,369.778058,,0,0
50,1,0,0,1,1,369.778058,377.319093,,0,0
51,1,0,0,1,1,377.319093,487.566261,,0,0
52,1,0,0,1,1,487.566261,589.259725,,0,0
53,1,0,0,1,1,589.259725,545.915475,,0,0
54,1,0,0,1,1,545.915475,471.358432,3.89,0,0
55,1,0,0,1,1,471.358432,417.260367,6.19,0,0
56,1,0,0,1,1,417.260367,310.261962,8.76,0,0
