weeks,mask,restaurant,non-essential business,bars,movie theater,increased_incident_ratio,increased_incident_ratio_next_week,total_vaccinations_per_hundred,delta_variant_exist,omicron_variant_exist
0,0,0,0,0,0,,,,0,0
1,0,0,0,0,0,,,,0,0
2,0,0,0,0,0,,,,0,0
3,0,0,0,0,0,,,,0,0
4,0,0,0,0,0,,,,0,0
5,0,0,0,0,0,,,,0,0
6,0,0,0,0,0,,,,0,0
7,0,0,0,0,0,,,,0,0
8,0,0,0,0,0,,,,0,0
9,0,0,0,0,0,,,,0,0
10,0,0,0,0,0,,,,0,0
11,0,0,0,0,0,,,,0,0
12,0,1,1,1,1,,,,0,0
13,0,1,1,1,1,,,,0,0
14,0,1,1,1,1,,,,0,0
15,0,1,1,1,1,72.863678,77.034904,,0,0
16,0,1,1,1,1,77.034904,72.676207,,0,0
17,0,1,1,1,1,72.676207,58.350308,,0,0
18,0,1,1,1,1,58.350308,47.273904,,0,0
19,0,1,1,1,1,47.273904,41.446685,,0,0
20,0,1,1,1,1,41.446685,32.948005,,0,0
21,0,1,1,1,1,32.948005,28.245611,,0,0
22,0,1,1,1,1,28.245611,25.269511,,0,0
23,0,0,0,0,1,25.269511,23.769744,,0,0
24,0,0,0,0,1,23.769744,30.682732,,0,0
25,0,0,0,0,1,30.682732,35.7132,,0,0
26,0,0,0,0,1,35.7132,41.071743,,0,0
27,1,0,0,0,0,41.071743,47.43013,,0,0
28,1,0,0,0,0,47.43013,51.460754,,0,0
29,1,0,0,1,0,51.460754,46.28187,,0,0
30,1,0,0,1,0,46.28187,41.821627,,0,0
31,1,0,0,1,0,41.821627,43.360449,,0,0
32,1,0,0,1,0,43.360449,35.931917,,0,0
33,1,0,0,1,0,35.931917,36.236556,,0,0
34,1,0,0,1,0,36.236556,46.477153,,0,0
35,1,0,0,1,0,46.477153,42.259059,,0,0
36,1,0,0,1,0,42.259059,45.1258,,0,0
37,1,0,0,1,0,45.1258,47.547299,,0,0
38,1,0,0,1,0,47.547299,58.123781,,0,0
39,1,0,0,1,0,58.123781,70.809309,,0,0
40,1,0,0,1,0,70.809309,79.948514,,0,0
41,1,0,0,1,0,79.948514,100.562499,,0,0
42,1,0,0,1,0,100.562499,126.800609,,0,0
43,1,0,0,1,0,126.800609,177.120914,,0,0
44,1,0,0,1,0,177.120914,283.081012,,0,0
45,1,0,0,1,0,283.081012,355.913445,,0,0
46,1,0,0,1,0,355.913445,367.435091,,0,0
47,1,0,0,1,0,367.435091,515.615191,,0,0
48,1,0,0,1,0,515.615191,567.724281,,0,0
49,1,0,0,1,0,567.724281,498.297569,,0,0
50,1,1,0,1,1,498.297569,391.525098,,0,0
51,1,1,0,1,1,391.525098,404.843341,,0,0
52,1,1,0,1,1,404.843341,475.871367,,0,0
53,1,0,0,1,0,475.871367,357.303853,,0,0
54,1,0,0,1,0,357.303853,280.909475,3.5,0,0
55,1,0,0,1,0,280.909475,303.999636,5.1,0,0
56,1,0,0,1,0,303.999636,204.616642,7.6,0,0
