weeks,mask,restaurant,non-essential business,bars,movie theater,increased_incident_ratio,increased_incident_ratio_next_week,total_vaccinations_per_hundred,delta_variant_exist,omicron_variant_exist
0,0,0,0,0,0,,,,0,0
1,0,0,0,0,0,,,,0,0
2,0,0,0,0,0,,,,0,0
3,0,0,0,0,0,,,,0,0
4,0,0,0,0,0,,,,0,0
5,0,0,0,0,0,,,,0,0
6,0,0,0,0,0,,,,0,0
7,0,0,0,0,0,,,,0,0
8,0,0,0,0,0,,,,0,0
9,0,0,0,0,0,,,,0,0
10,0,0,0,0,0,,,,0,0
11,0,0,0,0,0,,,,0,0
12,0,1,0,1,0,,,,0,0
13,0,1,0,1,0,,,,0,0
14,0,1,1,1,1,,,,0,0
15,0,1,1,1,1,14.3917,18.726797,,0,0
16,0,1,1,1,1,18.726797,22.651494,,0,0
17,0,1,1,1,1,22.651494,24.972512,,0,0
18,0,0,0,1,0,24.972512,27.224557,,0,0
19,0,0,0,1,0,27.224557,19.213073,,0,0
20,0,0,0,1,0,19.213073,24.199989,,0,0
21,0,0,0,1,0,24.199989,58.256551,,0,0
22,0,0,0,0,0,58.256551,61.822574,,0,0
23,0,0,0,0,0,61.822574,86.415722,,0,0
24,0,0,0,0,0,86.415722,153.335572,,0,0
25,0,0,0,0,0,153.335572,158.298346,,0,0
26,0,0,0,1,0,158.298346,219.927789,,0,0
27,1,0,0,1,0,219.927789,203.563396,,0,0
28,1,0,0,1,0,203.563396,197.93501,,0,0
29,1,0,0,1,0,197.93501,167.596218,,0,0
30,1,0,0,1,0,167.596218,292.193226,,0,0
31,1,0,0,1,0,292.193226,218.386191,,0,0
32,1,0,0,1,0,218.386191,129.973633,,0,0
33,1,0,0,1,0,129.973633,123.652045,,0,0
34,1,0,0,1,0,123.652045,78.418035,,0,0
35,1,0,0,1,0,78.418035,126.06963,,0,0
36,1,0,0,1,0,126.06963,119.258318,,0,0
37,1,0,0,1,0,119.258318,97.182769,,0,0
38,1,0,0,1,0,97.182769,83.477374,,0,0
39,1,0,0,1,0,83.477374,84.087806,,0,0
40,1,0,0,1,0,84.087806,114.50247,,0,0
41,1,0,0,1,0,114.50247,116.954542,,0,0
42,1,0,0,0,0,116.954542,169.551669,,0,0
43,1,0,0,0,0,169.551669,182.136214,,0,0
44,1,0,0,0,0,182.136214,192.354907,,0,0
45,1,0,0,0,0,192.354907,320.973176,,0,0
46,1,0,0,0,0,320.973176,313.934245,,0,0
47,1,0,0,0,0,313.934245,345.545631,,0,0
48,1,0,0,0,0,345.545631,374.57734,,0,0
49,1,0,0,0,0,374.57734,450.895078,,0,0
50,1,0,0,0,0,450.895078,388.327569,,0,0
51,1,0,0,0,0,388.327569,593.815377,,0,0
52,1,0,0,0,0,593.815377,543.928981,,0,0
53,1,0,0,0,0,543.928981,539.083465,,0,0
54,1,0,0,0,0,539.083465,418.311139,4,0,0
55,1,0,0,0,0,418.311139,502.133389,5.67,0,0
56,1,0,0,0,0,502.133389,340.682871,7.66,0,0
